date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2
24/06/2025;16;21;39;7;23;11;7
20/06/2025;37;24;47;5;8;9;3
17/06/2025;22;44;49;23;13;3;5
13/06/2025;43;40;45;2;28;3;7
10/06/2025;36;40;45;39;19;5;6
06/06/2025;30;29;21;20;35;2;12
03/06/2025;47;12;15;38;48;7;5
30/05/2025;36;7;14;4;33;1;5
27/05/2025;30;41;38;12;40;4;12
23/05/2025;49;43;29;46;10;12;7
20/05/2025;47;1;29;8;13;5;6
16/05/2025;25;9;37;46;6;6;12
13/05/2025;19;9;44;47;50;2;9
09/05/2025;15;18;25;47;29;9;5
06/05/2025;23;24;47;48;8;4;9
02/05/2025;21;49;5;3;19;1;10
29/04/2025;24;30;41;2;9;11;1
25/04/2025;13;32;39;41;22;1;12
22/04/2025;37;47;33;7;28;9;12
18/04/2025;20;48;39;35;27;3;8
15/04/2025;3;31;38;44;33;12;6
11/04/2025;14;34;46;49;28;3;8
08/04/2025;15;3;48;14;49;1;7
04/04/2025;50;27;39;45;41;7;5
01/04/2025;30;49;46;9;24;4;12
28/03/2025;10;21;30;45;42;1;9
25/03/2025;36;3;18;33;1;6;2
21/03/2025;9;17;18;21;50;12;5
18/03/2025;46;9;35;4;50;8;11
14/03/2025;8;33;49;35;10;2;9
11/03/2025;36;37;42;47;13;11;7
07/03/2025;32;6;48;27;10;8;3
04/03/2025;29;42;15;20;35;9;2
28/02/2025;43;31;46;16;7;9;5
25/02/2025;23;24;44;17;22;11;6
21/02/2025;1;43;3;20;11;11;2
18/02/2025;26;40;5;25;14;5;7
14/02/2025;38;14;36;31;4;10;3
11/02/2025;21;3;46;36;41;6;1
07/02/2025;10;24;45;29;23;8;10
04/02/2025;29;43;3;39;4;5;10
31/01/2025;30;41;49;44;22;7;2
28/01/2025;42;41;37;49;9;9;1
24/01/2025;30;2;19;49;11;3;8
21/01/2025;8;6;14;27;41;5;4
17/01/2025;24;42;15;35;8;8;6
14/01/2025;41;48;29;20;18;5;9
10/01/2025;36;37;27;42;12;7;6
07/01/2025;41;20;35;33;47;4;12
03/01/2025;19;35;37;3;29;1;9
